INOCTETS,OUTOCTETS,INERRORS
1786899600:,-nan,-nan
1786901400:,-nan,-nan
1786903200:,-nan,-nan
1786905000:,-nan,-nan
1786906800:,-nan,-nan
1786908600:,-nan,-nan
1786910400:,-nan,-nan
1786912200:,-nan,-nan
1786914000:,-nan,-nan
1786915800:,-nan,-nan
1786917600:,-nan,-nan
1786919400:,-nan,-nan
1786921200:,-nan,-nan
1786923000:,-nan,-nan
1786924800:,-nan,-nan
1786926600:,-nan,-nan
1786928400:,-nan,-nan
1786930200:,-nan,-nan
1786932000:,-nan,-nan
1786933800:,-nan,-nan
1786935600:,-nan,-nan
1786937400:,-nan,-nan
1786939200:,-nan,-nan
1786941000:,-nan,-nan
1786942800:,-nan,-nan
1786944600:,-nan,-nan
1786946400:,-nan,-nan
1786948200:,-nan,-nan
1786950000:,-nan,-nan
1786951800:,-nan,-nan
1786953600:,-nan,-nan
1786955400:,-nan,-nan
1786957200:,-nan,-nan
1786959000:,-nan,-nan
1786960800:,-nan,-nan
1786962600:,-nan,-nan
1786964400:,-nan,-nan
1786966200:,-nan,-nan
1786968000:,-nan,-nan
1786969800:,-nan,-nan
1786971600:,-nan,-nan
1786973400:,-nan,-nan
1786975200:,-nan,-nan
1786977000:,-nan,-nan
1786978800:,-nan,-nan
1786980600:,-nan,-nan
1786982400:,-nan,-nan
1786984200:,-nan,-nan
1786986000:,-nan,-nan
1786987800:,-nan,-nan
1786989600:,-nan,-nan
1786991400:,-nan,-nan
1786993200:,-nan,-nan
1786995000:,-nan,-nan
1786996800:,-nan,-nan
1786998600:,-nan,-nan
1787000400:,-nan,-nan
1787002200:,-nan,-nan
1787004000:,-nan,-nan
1787005800:,-nan,-nan
1787007600:,-nan,-nan
1787009400:,-nan,-nan
1787011200:,-nan,-nan
1787013000:,-nan,-nan
1787014800:,-nan,-nan
1787016600:,-nan,-nan
1787018400:,-nan,-nan
1787020200:,-nan,-nan
1787022000:,-nan,-nan
1787023800:,-nan,-nan
1787025600:,-nan,-nan
1787027400:,-nan,-nan
1787029200:,-nan,-nan
1787031000:,-nan,-nan
1787032800:,-nan,-nan
1787034600:,-nan,-nan
1787036400:,-nan,-nan
1787038200:,-nan,-nan
1787040000:,-nan,-nan
1787041800:,-nan,-nan
1787043600:,-nan,-nan
1787045400:,-nan,-nan
1787047200:,-nan,-nan
1787049000:,-nan,-nan
1787050800:,-nan,-nan
1787052600:,-nan,-nan
1787054400:,-nan,-nan
1787056200:,-nan,-nan
1787058000:,-nan,-nan
1787059800:,-nan,-nan
1787061600:,-nan,-nan
1787063400:,-nan,-nan
1787065200:,-nan,-nan
1787067000:,-nan,-nan
1787068800:,-nan,-nan
1787070600:,-nan,-nan
1787072400:,-nan,-nan
1787074200:,-nan,-nan
1787076000:,-nan,-nan
1787077800:,-nan,-nan
1787079600:,-nan,-nan
1787081400:,-nan,-nan
1787083200:,-nan,-nan
1787085000:,-nan,-nan
1787086800:,-nan,-nan
1787088600:,-nan,-nan
1787090400:,-nan,-nan
1787092200:,-nan,-nan
1787094000:,-nan,-nan
1787095800:,-nan,-nan
1787097600:,-nan,-nan
1787099400:,-nan,-nan
1787101200:,-nan,-nan
1787103000:,-nan,-nan
1787104800:,-nan,-nan
1787106600:,-nan,-nan
1787108400:,-nan,-nan
1787110200:,-nan,-nan
1787112000:,-nan,-nan
1787113800:,-nan,-nan
1787115600:,-nan,-nan
1787117400:,-nan,-nan
1787119200:,-nan,-nan
1787121000:,-nan,-nan
1787122800:,-nan,-nan
1787124600:,-nan,-nan
1787126400:,-nan,-nan
1787128200:,-nan,-nan
1787130000:,-nan,-nan
1787131800:,-nan,-nan
1787133600:,-nan,-nan
1787135400:,-nan,-nan
1787137200:,-nan,-nan
1787139000:,-nan,-nan
1787140800:,-nan,-nan
1787142600:,-nan,-nan
1787144400:,-nan,-nan
1787146200:,-nan,-nan
1787148000:,-nan,-nan
1787149800:,-nan,-nan
1787151600:,-nan,-nan
1787153400:,-nan,-nan
1787155200:,-nan,-nan
1787157000:,-nan,-nan
1787158800:,-nan,-nan
1787160600:,-nan,-nan
1787162400:,-nan,-nan
1787164200:,-nan,-nan
1787166000:,-nan,-nan
1787167800:,-nan,-nan
1787169600:,-nan,-nan
1787171400:,-nan,-nan
1787173200:,-nan,-nan
1787175000:,-nan,-nan
1787176800:,-nan,-nan
1787178600:,-nan,-nan
1787180400:,-nan,-nan
1787182200:,-nan,-nan
1787184000:,-nan,-nan
1787185800:,-nan,-nan
1787187600:,-nan,-nan
1787189400:,-nan,-nan
1787191200:,-nan,-nan
1787193000:,-nan,-nan
1787194800:,-nan,-nan
1787196600:,-nan,-nan
1787198400:,-nan,-nan
1787200200:,-nan,-nan
1787202000:,-nan,-nan
1787203800:,-nan,-nan
1787205600:,-nan,-nan
1787207400:,-nan,-nan
1787209200:,-nan,-nan
1787211000:,-nan,-nan
1787212800:,-nan,-nan
1787214600:,-nan,-nan
1787216400:,-nan,-nan
1787218200:,-nan,-nan
1787220000:,-nan,-nan
1787221800:,-nan,-nan
1787223600:,-nan,-nan
1787225400:,-nan,-nan
1787227200:,-nan,-nan
1787229000:,-nan,-nan
1787230800:,-nan,-nan
1787232600:,-nan,-nan
1787234400:,-nan,-nan
1787236200:,-nan,-nan
1787238000:,-nan,-nan
1787239800:,-nan,-nan
1787241600:,-nan,-nan
1787243400:,-nan,-nan
1787245200:,-nan,-nan
1787247000:,-nan,-nan
1787248800:,-nan,-nan
1787250600:,-nan,-nan
1787252400:,-nan,-nan
1787254200:,-nan,-nan
1787256000:,-nan,-nan
1787257800:,-nan,-nan
1787259600:,-nan,-nan
1787261400:,-nan,-nan
1787263200:,-nan,-nan
1787265000:,-nan,-nan
1787266800:,-nan,-nan
1787268600:,-nan,-nan
1787270400:,-nan,-nan
1787272200:,-nan,-nan
1787274000:,-nan,-nan
1787275800:,-nan,-nan
1787277600:,-nan,-nan
1787279400:,-nan,-nan
1787281200:,-nan,-nan
1787283000:,-nan,-nan
1787284800:,-nan,-nan
1787286600:,-nan,-nan
1787288400:,-nan,-nan
1787290200:,-nan,-nan
1787292000:,-nan,-nan
1787293800:,-nan,-nan
1787295600:,-nan,-nan
1787297400:,-nan,-nan
1787299200:,-nan,-nan
1787301000:,-nan,-nan
1787302800:,-nan,-nan
1787304600:,-nan,-nan
1787306400:,-nan,-nan
1787308200:,-nan,-nan
1787310000:,-nan,-nan
1787311800:,-nan,-nan
1787313600:,-nan,-nan
1787315400:,-nan,-nan
1787317200:,-nan,-nan
1787319000:,-nan,-nan
1787320800:,-nan,-nan
1787322600:,-nan,-nan
1787324400:,-nan,-nan
1787326200:,-nan,-nan
1787328000:,-nan,-nan
1787329800:,-nan,-nan
1787331600:,-nan,-nan
1787333400:,-nan,-nan
1787335200:,-nan,-nan
1787337000:,-nan,-nan
1787338800:,-nan,-nan
1787340600:,-nan,-nan
1787342400:,-nan,-nan
1787344200:,-nan,-nan
1787346000:,-nan,-nan
1787347800:,-nan,-nan
1787349600:,-nan,-nan
1787351400:,-nan,-nan
1787353200:,-nan,-nan
1787355000:,-nan,-nan
1787356800:,-nan,-nan
1787358600:,-nan,-nan
1787360400:,-nan,-nan
1787362200:,-nan,-nan
1787364000:,-nan,-nan
1787365800:,-nan,-nan
1787367600:,-nan,-nan
1787369400:,-nan,-nan
1787371200:,-nan,-nan
1787373000:,-nan,-nan
1787374800:,-nan,-nan
1787376600:,-nan,-nan
1787378400:,-nan,-nan
1787380200:,-nan,-nan
1787382000:,-nan,-nan
1787383800:,-nan,-nan
1787385600:,-nan,-nan
1787387400:,-nan,-nan
1787389200:,-nan,-nan
1787391000:,-nan,-nan
1787392800:,-nan,-nan
1787394600:,-nan,-nan
1787396400:,-nan,-nan
1787398200:,-nan,-nan
1787400000:,-nan,-nan
1787401800:,-nan,-nan
1787403600:,-nan,-nan
1787405400:,-nan,-nan
1787407200:,-nan,-nan
1787409000:,-nan,-nan
1787410800:,-nan,-nan
1787412600:,-nan,-nan
1787414400:,-nan,-nan
1787416200:,-nan,-nan
1787418000:,-nan,-nan
1787419800:,-nan,-nan
1787421600:,-nan,-nan
1787423400:,-nan,-nan
1787425200:,-nan,-nan
1787427000:,-nan,-nan
1787428800:,-nan,-nan
1787430600:,-nan,-nan
1787432400:,-nan,-nan
1787434200:,-nan,-nan
1787436000:,-nan,-nan
1787437800:,-nan,-nan
1787439600:,-nan,-nan
1787441400:,-nan,-nan
1787443200:,-nan,-nan
1787445000:,-nan,-nan
1787446800:,-nan,-nan
1787448600:,-nan,-nan
1787450400:,-nan,-nan
1787452200:,-nan,-nan
1787454000:,-nan,-nan
1787455800:,-nan,-nan
1787457600:,-nan,-nan
1787459400:,-nan,-nan
1787461200:,-nan,-nan
1787463000:,-nan,-nan
1787464800:,-nan,-nan
1787466600:,-nan,-nan
1787468400:,-nan,-nan
1787470200:,-nan,-nan
1787472000:,-nan,-nan
1787473800:,-nan,-nan
1787475600:,-nan,-nan
1787477400:,-nan,-nan
1787479200:,-nan,-nan
1787481000:,-nan,-nan
1787482800:,-nan,-nan
1787484600:,-nan,-nan
1787486400:,-nan,-nan
1787488200:,-nan,-nan
1787490000:,-nan,-nan
1787491800:,-nan,-nan
1787493600:,-nan,-nan
1787495400:,-nan,-nan
1787497200:,-nan,-nan
1787499000:,-nan,-nan
1787500800:,-nan,-nan
1787502600:,-nan,-nan
1787504400:,-nan,-nan
1787506200:,-nan,-nan
1787508000:,-nan,-nan
1787509800:,-nan,-nan
1787511600:,-nan,-nan
1787513400:,-nan,-nan
1787515200:,-nan,-nan
1787517000:,-nan,-nan
1787518800:,-nan,-nan
1787520600:,-nan,-nan
1787522400:,-nan,-nan
1787524200:,-nan,-nan
1787526000:,-nan,-nan
1787527800:,-nan,-nan
1787529600:,-nan,-nan
1787531400:,-nan,-nan
1787533200:,-nan,-nan
1787535000:,-nan,-nan
1787536800:,-nan,-nan
1787538600:,-nan,-nan
1787540400:,-nan,-nan
1787542200:,-nan,-nan
1787544000:,-nan,-nan
1787545800:,-nan,-nan
1787547600:,-nan,-nan
1787549400:,-nan,-nan
1787551200:,-nan,-nan
1787553000:,-nan,-nan
1787554800:,-nan,-nan
1787556600:,-nan,-nan
1787558400:,-nan,-nan
